External ID,A1 Attention,A1 Addressee,A1 Address 1,A1 City,A1 State,A1 Zip,A1 Country,A1 Default Shipping,A1 Default Billing,A2 Attention,A2 Addressee,A2 Address 1,A2 City,A2 State,A2 Zip,A2 Country,A2 Default Shipping,A2 Default Billing
NORDRACK-747,Store # 747,Willowbrook Mall Rack,8000 Willowbrook Mall,Houston,TX,77070,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-748,Store # 748,Village Plaza at Bunker Hill Rack,9714 Katy Fwy,Houston,TX,77055,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-749,Store # 749,Woodland Plaza Rack,8722 E 71st St,Tulsa,OK,74133,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-754,Store # 754,Renaissance Center Rack,6807 Fayetteville Rd,Durham,NC,27713,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-755,Store # 755,University Commons Rack,1400 Glades Rd,Boca Raton,FL,33431,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-756,Store # 756,The Markets at Town Center Rack,4924 Big Island Dr,Jacksonville,FL,32246,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-757,Store # 757,Mercato Rack,9100 Strada Place,Naples,FL,34108,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-758,Store # 758,Brentwood Place Shopping Center Rack,330 Franklin Rd,Brentwood,TN,37027,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-764,Store # 764,Mall of Georgia Crossing Rack,3205 Woodward Crossing Blvd,Buford,GA,30519,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-771,Store # 771,Sawgrass Mills Rack,2604 Sawgrass Mills Cir,Sunrise,FL,33323,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-777,Store # 777,Miracle Marketplace Rack,3301 Coral Way,Miami,FL,33145,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-778,Store # 778,Millenia Crossing Rack,4036 Eastgate Dr,Orlando,FL,32839,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-779,Store # 779,Kendall Town & Country Rack,"8525 Mills Dr, Ste 306",Kendall,FL,33183,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-781,Store # 781,Tampa Rack,1702 N Dale Mabry Hwy,Tampa,FL,33607,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-782,Store # 782,Buckhead Station Rack,3495 Buckhead Loop NE,Atlanta,GA,30326,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-783,Store # 783,North Point Market Center Rack,6200 N Point Pkwy,Alpharetta,GA,30022,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-784,Store # 784,Palm Beach Outlets Rack,1865 Palm Beach Lakes Blvd,West Palm Beach,FL,33401,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-785,Store # 785,Belle Isle Station Rack,1741 Belle Isle Blvd,Oklahoma City,OK,73118,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-786,Store # 786,Shoppes at University Town Center Rack,8551 Cooper Creek Blvd,University Park,FL,34201,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-787,Store # 787,River Ridge Shopping Center Rack,339 Summit Blvd,Birmingham,AL,35242,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-788,Store # 788,Perimeter Expo Rack,1201 Hammond Dr NE,Dunwoody,GA,30346,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-791,Store # 791,Harbison Court Rack,278 Harbison Blvd,Columbia,SC,29212,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-792,Store # 792,Magnolia Park Rack,1025 Woodruff Rd,Greenville,SC,29607,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-793,Store # 793,Countryside Mall Rack,2435 State Rd 580,Clearwater,FL,33761,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-796,Store # 796,Lake Brandon Plaza Rack,11201 Causeway Blvd,Brandon,FL,33511,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-797,Store # 797,The Shops at Midtown Miami Rack,3201 N Miami Ave,Miami,FL,33127,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-798,Store # 798,The Mall of Louisiana Rack,9330 Mall of Louisiana Blvd,Baton Rouge,LA,70836,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-1003,Store # 1003,The Village at Meridian Rack,"2260 N Eagle Rd, Ste 120",Meridian,ID,83646,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-1015,Store # 1015,Tri Citites Center Rack,"7411 W Canal Dr, Ste K",Kennewick,WA,99336,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-1018,Store # 1018,Northpointe Plaza Rack,9612 N Newport Hwy,Spokane,WA,99218,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2221,Store # 2221,Danada Square East Rack,71 Danada Square E,Wheaton,IL,60189,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2223,Store # 2223,Randal Square Rack,1580 S Randall Rd,Geneva,IL,60134,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2224,Store # 2224,Bloomingdale Court Rack,362 W Army Trail Rd #230,Bloomingdale,IL,60108,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2235,Store # 2235,Shoppes at Stadium Rack,"201 N Stadium Blvd, Ste 105",Columbia,MO,65203,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2242,Store # 2242,Village Pointe Rack,255 N 170th St,Omaha,NE,68118,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2243,Store # 2243,Fischer Marketplace Rack,14910 Florance Trl,Apple Valley,MN,55124,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2261,Store # 2261,Macedonia Gateway Rack,"500 E Aurora Rd, Unit 2",Macedonia,OH,44056,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2262,Store # 2262,Deerfield Towne Center Rack,5800 Deerfield Blvd,Mason,OH,45040,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2263,Store # 2263,Hamilton Town Center Rack,"14139 Town Center Blvd, Ste 800",Noblesville,IN,46060,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2264,Store # 2264,The Venue at Belden Rack,3939 Everhard Rd NW,Canton,OH,44709,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2265,Store # 2265,Montrose Plaza Rack,3977 Medina Rd,Akron,OH,44333,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-2281,Store # 2281,"Hunter's Square Rack (Farmington Hills, MI)",5050 Chavenelle Rd,Dubuque,IA,52002,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3341,Store # 3341,The Village Walk Rack,"18700 W Ventura Blvd, Ste 190A",Tarzana,CA,91356,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3361,Store # 3361,Pacific Coast Plaza Rack,2168 Vista Way,Oceanside,CA,92054,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3362,Store # 3362,Clairemont Town Square Rack,4829 Clairemont Dr,San Diego,CA,92117,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3363,Store # 3363,El Camino Promenade Rack,222 N El Camino Real,Encinitas,CA,92024,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3716,Store # 3716,Las Tiendas Shopping Center Rack,"700 E Expwy 83, Ste 200",McAllen,TX,78503,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3719,Store # 3719,Highlands of Flower Mound Rack,"6101 Long Prairie Rd, Ste 500",Flower Mound,TX,75028,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3721,Store # 3721,Meryerland Plaza Rack,100 Meyerland Plaza Mall,Houston,TX,77096,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3722,Store # 3722,Westchase Shopping Center Rack,10885 Westheimer Rd,Houston,TX,77042,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
