External ID,Addressee,Attention,Address 1,City,State,Zip,Country,Default Shipping,Default Billing
NORDRACK-491,Nordstrom - 491 - SLO Promenade Rack,,323 Madonna Rd,San Luis Obispo,CA,93405,US,T,T
NORDRACK-497,Nordstrom - 497 - Valley Mall Union Gap Rack,,1740 E Washington Ave,Union Gap,WA,98903,US,T,T
NORDRACK-509,Nordstrom - 509 - Rack at 31st & 6th,,865 Ave of the Americas,New York,NY,10001,US,T,T
NORDRACK-515,Nordstrom - 515 - Union Square Rack,,60 E 14th St,New York,NY,10003,US,T,T
NORDRACK-519,Nordstrom - 519 - City Center Rack,,3 City Place,White Plains,NY,10601,US,T,T
NORDRACK-529,Nordstrom - 529 - The Gallery at Westbury Plaza Rack,,1040 Old Country Rd,Garden City,NY,11590,US,T,T
NORDRACK-533,Nordstrom - 533 - Warwick Mall Rack,,400 Bald Hill Rd,Warwick,RI,02886,US,T,T
NORDRACK-539,Nordstrom - 539 - Bergen Rack,,510 Bergen Town Center,Paramus,NJ,07652,US,T,T
NORDRACK-541,Nordstrom - 541 - University Station Rack,,231 University Ave,Westwood,MA,02090,US,T,T
NORDRACK-542,Nordstrom - 542 - Liberty Tree Rack,,50 Independence Way,Danvers,MA,01923,US,T,T
NORDRACK-543,Nordstrom - 543 - Middlesex Commons Rack,,43 Middlesex Turnpike,Burlington,MA,01803,US,T,T
NORDRACK-544,Nordstrom - 544 - Willow Grove Park Rack,,2500 W Moreland Rd,Willow Grove,PA,19090,US,T,T
NORDRACK-545,Nordstrom - 545 - West Farm Shopping Center Rack,,1600 S E Rd,Farmington,CT,06032,US,T,T
NORDRACK-546,Nordstrom - 546 - Shoppers World Rack,,1 Worcester Rd,Framingham,MA,01701,US,T,T
NORDRACK-547,Nordstrom - 547 - Newbury Rack,,497 Boylston St,Boston,MA,02116,US,T,T
NORDRACK-548,Nordstrom - 548 - Manhasset Center Rack,,1400 Northern Blvd,Manhasset,NY,11030,US,T,T
NORDRACK-550,Nordstrom - 550 - The Shoppes at Blackstone Valley Rack,,70 Worcester Providence Turnpike,Millbury,MA,01527,US,T,T
NORDRACK-551,Nordstrom - 551 - Chestnut Street Rack,,1700 Chestnut St,Philadelphia,PA,19103,US,T,T
NORDRACK-552,Nordstrom - 552 - Maine Crossing Rack,,"200 Running Hill Rd, Ste 5",South Portland,ME,04106,US,T,T
NORDRACK-553,Nordstrom - 553 - Braintree Rack,,"200 Grossman Dr, Ste 102",Braintree,MA,02184,US,T,T
NORDRACK-554,Nordstrom - 554 - Boulevard Consumer Square Rack,,1579 Niagara Falls Blvd,Amherst,NY,14228,US,T,T
NORDRACK-555,Nordstrom - 555 - Mercer Mall Rack,,3371 US Hwy 1,Lawrenceville,NJ,08648,US,T,T
NORDRACK-610,Nordstrom - 610 - Presidential Markets Rack,,1905 Scenic Hwy N,Snellville,GA,30078,US,T,T
NORDRACK-620,Nordstrom - 620 - Denton Crossing Rack,,"1800 S Loop 288, Ste 210",Denton,TX,76205,US,T,T
NORDRACK-624,Nordstrom - 624 - Potomac Mills Rack,,2700 Potomac Mills Cir,Woodbridge,VA,22192,US,T,T
NORDRACK-625,Nordstrom - 625 - Columbia Crossing Rack,,6141 Columbia Crossing Cir,Columbia,MD,21045,US,T,T
NORDRACK-627,Nordstrom - 627 - Towson Rack,,700 Fairmount Ave,Towson,MD,21286,US,T,T
NORDRACK-633,Nordstrom - 633 - Gaithersburg Rack,,15760 Shady Grove Rd,Gaithersburg,MD,20877,US,T,T
NORDRACK-634,Nordstrom - 634 - King of Prussia Rack,,101 Town Square Pl,King of Prussia,PA,19406,US,T,T
NORDRACK-640,Nordstrom - 640 - Fair Lakes Promenade Rack,,12199 Fair Lakes Promenade Dr,Fairfax,VA,22033,US,T,T
NORDRACK-641,Nordstrom - 641 - Carolina Pavilion Rack,,9563 South Blvd,Charlotte,NC,28273,US,T,T
NORDRACK-642,Nordstrom - 642 - Cherry Hill Garden State Park Rack,,"951 Haddonfield Rd, Ste A",Cherry Hill,NJ,08002,US,T,T
NORDRACK-643,Nordstrom - 643 - Annapolis Harbour Center Rack,,2540 Solomons Island Rd,Annapolis,MD,21402,US,T,T
NORDRACK-644,Nordstrom - 644 - Tysons Corner Rack,,"8027 Leesburg Pike, Ste 101",Vienna,VA,22182,US,T,T
NORDRACK-645,Nordstrom - 645 - Christiana Fashion Center Rack,,2400 Fashion Center Blvd,Newark,DE,19702,US,T,T
NORDRACK-646,Nordstrom - 646 - Livingston Center Rack,,530 W Mount Pleasant Ave,Livingston,NJ,07039,US,T,T
NORDRACK-647,Nordstrom - 647 - Rockaway Commons Rack,,343 Mount Hope Ave,Rockaway,NJ,07801,US,T,T
NORDRACK-648,Nordstrom - 648 - Hamilton Crossings Rack,,"750 N Krocks Rd, Ste 303",Allentown,PA,18106,US,T,T
NORDRACK-649,Nordstrom - 649 - Wayne Town Center Rack,,141 State Route 23,Wayne,NJ,07470,US,T,T
NORDRACK-650,Nordstrom - 650 - Crossroads at Eatontown Rack,,231 Highway 35,Eatontown,NJ,07724,US,T,T
NORDRACK-651,Nordstrom - 651 - Chimney Rock Rack,,362 Chimney Rock Rd,Bound Brook,NJ,08805,US,T,T
NORDRACK-652,Nordstrom - 652 - Shoppes at Belmont Rack,,1585 Fruitville Pike,Lancaster,PA,17601,US,T,T
NORDRACK-656,Nordstrom - 656 - Lincoln Plaza Rack,,"2424 E Lincoln Hwy, Ste 500",Langhorne,PA,19047,US,T,T
NORDRACK-658,Nordstrom - 658 - Terrace at Hamilton Place Rack,,"2220 Hamilton Place Blvd, Ste 126",Chattanooga,TN,37421,US,T,T
NORDRACK-660,Nordstrom - 660 - Woodmore Towne Center Rack,,"2700 Campus Way N, Ste 100",Lanham,MD,20706,US,T,T
NORDRACK-661,Nordstrom - 661 - Canton Crossing Rack,,3967 Boston St,Baltimore,MD,21224,US,T,T
NORDRACK-670,Nordstrom - 670 - Dulles Town Crossing Rack,,45575 Dulles Eastern Plaza,Sterling,VA,20166,US,T,T
NORDRACK-671,Nordstrom - 671 - Pentagon Center Rack,,"1201 S Hayes St, Ste A",Arlington,VA,22202,US,T,T
NORDRACK-673,Nordstrom - 673 - Downtown DC Rack,,"1800 L St NW, Ste 102",Washington,DC,20036,US,T,T
NORDRACK-674,Nordstrom - 674 - Springfield Town Center Rack,,6501 Springfield Mall,Springfield,VA,22150,US,T,T
NORDRACK-675,Nordstrom - 675 - Metro Center Rack,,"555 12th St NW, Front 1",Washington,DC,20004,US,T,T
NORDRACK-676,Nordstrom - 676 - The Block Northway Rack,,8031 McKnight Rd,Pittsburgh,PA,15237,US,T,T
NORDRACK-677,Nordstrom - 677 - Pembroke Mall Rack,,4588 Virginia Beach Blvd,Virginia Beach,VA,23462,US,T,T
NORDRACK-686,Nordstrom - 686 - Northwoods Rack,,18134 San Pedro Ave,San Antonio,TX,78232,US,T,T
NORDRACK-688,Nordstrom - 688 - Bandera Pointe Rack,,11711 Bandera Rd,San Antonio,TX,78250,US,T,T
NORDRACK-691,Nordstrom - 691 - The Village at Allen Rack,,"170 E Stacy Rd, Ste 2130",Allen,TX,75002,US,T,T
NORDRACK-692,Nordstrom - 692 - Delray Beach Rack,,"1855 S Federal Hwy, Ste 514",Delray Beach,FL,33483,US,T,T
NORDRACK-700,Nordstrom - 700 - Barrett Place Rack,,860 Cobb Place Blvd NW,Kennesaw,GA,30144,US,T,T
NORDRACK-708,Nordstrom - 708 - Memphis Rack,,"4572 Poplar Ave, Ste 109",Memphis,TN,38117,US,T,T
NORDRACK-709,Nordstrom - 709 - The Centre at Preston Ridge Rack,,"3241 Preston Rd, Ste 1402",Frisco,TX,75034,US,T,T
NORDRACK-711,Nordstrom - 711 - Bowman Place Rack,,1110 Bowman Rd,Mt. Pleasant,SC,29464,US,T,T
NORDRACK-712,Nordstrom - 712 - 1600 Commons Rack,,1540 N Federal Hwy,Ft. Lauderdale,FL,33304,US,T,T
NORDRACK-713,Nordstrom - 713 - Portofino Shopping Center Rack,,"19075 Interstate 45 South, Ste 106",Shenandoah,TX,77385,US,T,T
NORDRACK-714,Nordstrom - 714 - Winter Park Rack,,"1090 N Orlando Ave, Ste 101",Winter Park,FL,32609,US,T,T
NORDRACK-715,Nordstrom - 715 - The Parke Rack,,"5001 Hwy 183A Toll Rd, Ste C1100",Cedar Park,TX,78613,US,T,T
NORDRACK-716,Nordstrom - 716 - Riverwalk Rack,,"500 Port of New Orleans Place, Ste 245",New Orleans,LA,70130,US,T,T
NORDRACK-717,Nordstrom - 717 - Ambassador Plaza Rack,,"111 Meadow Farm Rd, Ste 140",Lafayette,LA,70508,US,T,T
NORDRACK-719,Nordstrom - 719 - Gallery on the Parkway Rack,,"13900 Dallas Pkwy, Ste 300",Dallas,TX,75240,US,T,T
NORDRACK-721,Nordstrom - 721 - Baybrook Square Rack,,1211 W Bay Area Blvd,Webster,TX,77598,US,T,T
NORDRACK-727,Nordstrom - 727 - Preston Shepard Place Rack,,1701 D-1 Preston Rd,Plano,TX,75093,US,T,T
NORDRACK-734,Nordstrom - 734 - Rim Rack,,5823 Worth Pkwy,San Antonio,TX,78257,US,T,T
NORDRACK-735,Nordstrom - 735 - The Shops at Southlake Rack,,1445 E Southlake Blvd,Southlake,TX,76092,US,T,T
NORDRACK-736,Nordstrom - 736 - Gateway Rack,,"9607 Research Blvd, Ste 200",Austin,TX,78759,US,T,T
NORDRACK-738,Nordstrom - 738 - Park Lane Rack,,8050 Park Lane,Dallas,TX,75231,US,T,T
NORDRACK-739,Nordstrom - 739 - Parks at Arlington Rack,,"3865 S Cooper St, Ste 6001",Arlington,TX,76015,US,T,T
NORDRACK-740,Nordstrom - 740 - Sunset Valley Rack,,"5601 Brodie Lane, Ste 700",Sunset Valley,TX,78745,US,T,T
NORDRACK-741,Nordstrom - 741 - Centre at Post Oak Rack,,"5000 Wheimer Rd, Ste 500",Houston,TX,77056,US,T,T
NORDRACK-743,Nordstrom - 743 - Promenade Shops Rack,,20669 Biscayne Blvd,Miami,FL,33180,US,T,T
NORDRACK-744,Nordstrom - 744 - Market at Town Center Rack,,2665 Town Center Blvd N,Sugarland,TX,77479,US,T,T
NORDRACK-745,Nordstrom - 745 - Alamo Quarry Rack,,255 E Basse Rd,San Antonio,TX,78209,US,T,T
NORDRACK-747,Nordstrom - 747 - Willowbrook Mall Rack,,8000 Willowbrook Mall,Houston,TX,77070,US,T,T
NORDRACK-748,Nordstrom - 748 - Village Plaza at Bunker Hill Rack,,9714 Katy Fwy,Houston,TX,77055,US,T,T
NORDRACK-749,Nordstrom - 749 - Woodland Plaza Rack,,8722 E 71st St,Tulsa,OK,74133,US,T,T
NORDRACK-754,Nordstrom - 754 - Renaissance Center Rack,,6807 Fayetteville Rd,Durham,NC,27713,US,T,T
NORDRACK-755,Nordstrom - 755 - University Commons Rack,,1400 Glades Rd,Boca Raton,FL,33431,US,T,T
NORDRACK-756,Nordstrom - 756 - The Markets at Town Center Rack,,4924 Big Island Dr,Jacksonville,FL,32246,US,T,T
NORDRACK-757,Nordstrom - 757 - Mercato Rack,,9100 Strada Place,Naples,FL,34108,US,T,T
NORDRACK-758,Nordstrom - 758 - Brentwood Place Shopping Center Rack,,330 Franklin Rd,Brentwood,TN,37027,US,T,T
NORDRACK-764,Nordstrom - 764 - Mall of Georgia Crossing Rack,,3205 Woodward Crossing Blvd,Buford,GA,30519,US,T,T
NORDRACK-771,Nordstrom - 771 - Sawgrass Mills Rack,,2604 Sawgrass Mills Cir,Sunrise,FL,33323,US,T,T
NORDRACK-777,Nordstrom - 777 - Miracle Marketplace Rack,,3301 Coral Way,Miami,FL,33145,US,T,T
NORDRACK-778,Nordstrom - 778 - Millenia Crossing Rack,,4036 Eastgate Dr,Orlando,FL,32839,US,T,T
NORDRACK-779,Nordstrom - 779 - Kendall Town & Country Rack,,"8525 Mills Dr, Ste 306",Kendall,FL,33183,US,T,T
NORDRACK-781,Nordstrom - 781 - Tampa Rack,,1702 N Dale Mabry Hwy,Tampa,FL,33607,US,T,T
NORDRACK-782,Nordstrom - 782 - Buckhead Station Rack,,3495 Buckhead Loop NE,Atlanta,GA,30326,US,T,T
